"Year","StockName","SeriesLabel","Value"
1975,"Skeena","Esc Index",20319
1975,"Skeena","GSI Esc",NA
1976,"Skeena","Esc Index",13078
1976,"Skeena","GSI Esc",NA
1977,"Skeena","Esc Index",29018
1977,"Skeena","GSI Esc",NA
1978,"Skeena","Esc Index",22661
1978,"Skeena","GSI Esc",NA
1979,"Skeena","Esc Index",17507
1979,"Skeena","GSI Esc",NA
1980,"Skeena","Esc Index",20770
1980,"Skeena","GSI Esc",NA
1981,"Skeena","Esc Index",24928
1981,"Skeena","GSI Esc",NA
1982,"Skeena","Esc Index",17458
1982,"Skeena","GSI Esc",NA
1983,"Skeena","Esc Index",24238
1983,"Skeena","GSI Esc",NA
1984,"Skeena","Esc Index",37598
1984,"Skeena","GSI Esc",37792
1985,"Skeena","Esc Index",53599
1985,"Skeena","GSI Esc",34728
1986,"Skeena","Esc Index",59968
1986,"Skeena","GSI Esc",23987
1987,"Skeena","Esc Index",59120
1987,"Skeena","GSI Esc",96457
1988,"Skeena","Esc Index",68705
1988,"Skeena","GSI Esc",61199
1989,"Skeena","Esc Index",57202
1989,"Skeena","GSI Esc",71957
1990,"Skeena","Esc Index",55976
1990,"Skeena","GSI Esc",34554
1991,"Skeena","Esc Index",52753
1991,"Skeena","GSI Esc",41818
1992,"Skeena","Esc Index",63392
1992,"Skeena","GSI Esc",89002
1993,"Skeena","Esc Index",66977
1993,"Skeena","GSI Esc",111702
1994,"Skeena","Esc Index",48782
1994,"Skeena","GSI Esc",87631
1995,"Skeena","Esc Index",34390
1995,"Skeena","GSI Esc",55615
1996,"Skeena","Esc Index",73684
1996,"Skeena","GSI Esc",103124
1997,"Skeena","Esc Index",42539
1997,"Skeena","GSI Esc",49420
1998,"Skeena","Esc Index",46744
1998,"Skeena","GSI Esc",39343
1999,"Skeena","Esc Index",43775
1999,"Skeena","GSI Esc",48290
2000,"Skeena","Esc Index",51720
2000,"Skeena","GSI Esc",62279
2001,"Skeena","Esc Index",81504
2001,"Skeena","GSI Esc",106165
2002,"Skeena","Esc Index",44771
2002,"Skeena","GSI Esc",38695
2003,"Skeena","Esc Index",56758
2003,"Skeena","GSI Esc",82184
2004,"Skeena","Esc Index",44243
2004,"Skeena","GSI Esc",105887
2005,"Skeena","Esc Index",29496
2005,"Skeena","GSI Esc",56961
2006,"Skeena","Esc Index",33094
2006,"Skeena","GSI Esc",55156
2007,"Skeena","Esc Index",33352
2007,"Skeena","GSI Esc",62320
2008,"Skeena","Esc Index",32963
2008,"Skeena","GSI Esc",44901
2009,"Skeena","Esc Index",38297
2009,"Skeena","GSI Esc",61888
2010,"Skeena","Esc Index",43331
2010,"Skeena","GSI Esc",63977
2011,"Skeena","Esc Index",37073
2011,"Skeena","GSI Esc",28420
2012,"Skeena","Esc Index",34024
2012,"Skeena","GSI Esc",21660
2013,"Skeena","Esc Index",26699
2013,"Skeena","GSI Esc",40772
2014,"Skeena","Esc Index",28496
2014,"Skeena","GSI Esc",43164
2015,"Skeena","Esc Index",41658
2015,"Skeena","GSI Esc",55284
2016,"Skeena","Esc Index",34153
2016,"Skeena","GSI Esc",28238
2017,"Skeena","Esc Index",18480
2017,"Skeena","GSI Esc",14715
2018,"Skeena","Esc Index",35005
2018,"Skeena","GSI Esc",35059
2019,"Skeena","Esc Index",24536
2019,"Skeena","GSI Esc",20193
2020,"Skeena","Esc Index",13386
2020,"Skeena","GSI Esc",16243
2021,"Skeena","Esc Index",9724
2021,"Skeena","GSI Esc",20097
2022,"Skeena","Esc Index",NA
2022,"Skeena","GSI Esc",24724
2023,"Skeena","Esc Index",NA
2023,"Skeena","GSI Esc",26044
