"Year","Catch","Escapement","Run Size"
1959,5382055,1078000,6460055
1961,796685,1092561,1889246
1963,3528312,1954038,5482350
1965,1125788,1194099,2319887
1967,11131572,1831219,12962791
1969,2400548,1530913,3931461
1971,7958376,1804952,9763328
1973,5049723,1754261,6803984
1975,3526866,1367089,4893955
1977,5821674,2387811,8209485
1979,10843466,3560654,14404120
1981,14196353,4488336,18684689
1983,10714376,4631721,15346097
1985,12577074,6460950,19038024
1987,3948252,3223521,7171773
1989,9295074,7189201,16484275
1991,9230804,12942835,22173639
1993,6215163,10768335,16983498
1995,5729124,7174584,12903708
1997,5333856,2842108,8175964
1999,163283,3444982,3608265
2001,1448154,19813620,21261774
2003,2068970,22181030,24250000
2005,1060376,8809624,9870000
2007,839948,7650052,8490000
2009,4507317,15428836,19936153
2011,7860612,12784508,20645120
2013,6553329,9344490,15897819
2015,496240,5368996,5865236
2017,170932,3392159,3563091
2019,550784,8307419,8858203
2021,280069,7827445,8107514
2023,944215,9576629,10520844
