"region","Chinook","Chum","Coho","Pink","Sockeye","Steelhead"
"Yukon","-66","-86","Unknown","Not present","Not present","Not present"
"Transboundary","-56","Unknown","-30","Unknown","-11","Unknown"
"Haida Gwaii","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Nass","-9","Unknown","Unknown","Unknown","-40","-25"
"Skeena","Unknown","Unknown","Unknown","Unknown","-11","Unknown"
"Central Coast","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Vancouver Island & Mainland Inlets","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Fraser","-1","Unknown","22","12","-61","Unknown"
"Columbia","Unknown","Not present","Not present","Not present","Unknown","Unknown"
